State,County,FIPS,Urban/Rural,Population,Major,Area,On-road,Non-road,Background,Total
AL,Autauga,1001,Urban,43671,0.00000290,0.00000420,0.00000480,0.00000082,0.00001400,0.00002600
AL,Baldwin,1003,Urban,140415,0.00000053,0.00000410,0.00000240,0.00000150,0.00001700,0.00002500
AL,Barbour,1005,Rural,29038,0.00000021,0.00000290,0.00000220,0.00000057,0.00001300,0.00001900
AL,Bibb,1007,Rural,20826,0.00000200,0.00000140,0.00000200,0.00000041,0.00001100,0.00001700
AL,Blount,1009,Urban,51024,0.00000060,0.00000240,0.00000360,0.00000053,0.00001500,0.00002200
AL,Bullock,1011,Rural,11714,0.00000006,0.00000580,0.00000077,0.00000013,0.00001000,0.00001700
AL,Butler,1013,Rural,21399,0.00000007,0.00000190,0.00000220,0.00000023,0.00001000,0.00001500
AL,Calhoun,1015,Urban,112249,0.00000560,0.00000330,0.00000800,0.00000110,0.00001400,0.00003200
AL,Chambers,1017,Urban,36583,0.00000031,0.00000240,0.00000330,0.00000052,0.00001300,0.00002000
AL,Cherokee,1019,Rural,23988,0.00000006,0.00000250,0.00000190,0.00000097,0.00001100,0.00001700
AL,Chilton,1021,Rural,39593,0.00000029,0.00000170,0.00000240,0.00000049,0.00001400,0.00001900
AL,Choctaw,1023,Rural,15922,0.00000011,0.00000071,0.00000049,0.00000020,0.00001100,0.00001200
AL,Clarke,1025,Rural,27867,0.00000017,0.00000130,0.00000049,0.00000022,0.00001300,0.00001500
AL,Clay,1027,Rural,14254,0.00000027,0.00000140,0.00000100,0.00000019,0.00001100,0.00001400
AL,Cleburne,1029,Rural,14123,0.00000018,0.00000220,0.00000250,0.00000027,0.00001200,0.00001700
AL,Coffee,1031,Urban,43615,0.00000022,0.00000400,0.00000360,0.00000039,0.00001300,0.00002100
AL,Colbert,1033,Urban,54984,0.00000045,0.00000510,0.00000500,0.00000110,0.00001300,0.00002500
AL,Conecuh,1035,Rural,14089,0.00000015,0.00000150,0.00000089,0.00000010,0.00001000,0.00001300
AL,Coosa,1037,Rural,12202,0.00000015,0.00000150,0.00000130,0.00000039,0.00001100,0.00001500
AL,Covington,1039,Rural,37631,0.00000010,0.00000310,0.00000170,0.00000031,0.00001300,0.00001800
AL,Crenshaw,1041,Rural,13665,0.00000017,0.00000110,0.00000097,0.00000014,0.00001100,0.00001300
AL,Cullman,1043,Rural,77483,0.00000038,0.00000330,0.00000270,0.00000061,0.00001400,0.00002100
AL,Dale,1045,Urban,49129,0.00000035,0.00000310,0.00000610,0.00000029,0.00001300,0.00002300
AL,Dallas,1047,Urban,46365,0.00000042,0.00000370,0.00000160,0.00000042,0.00001300,0.00001900
AL,DeKalb,1049,Rural,64452,0.00000017,0.00000220,0.00000240,0.00000055,0.00001400,0.00001900
AL,Elmore,1051,Urban,65874,0.00000049,0.00000250,0.00000310,0.00000085,0.00001300,0.00002000
AL,Escambia,1053,Rural,38440,0.00000047,0.00000440,0.00000180,0.00000026,0.00001300,0.00002000
AL,Etowah,1055,Urban,103459,0.00000120,0.00000320,0.00000630,0.00000085,0.00001700,0.00002900
AL,Fayette,1057,Rural,18495,0.00000066,0.00000130,0.00000110,0.00000017,0.00001100,0.00001400
AL,Franklin,1059,Rural,31223,0.00000019,0.00000220,0.00000220,0.00000034,0.00001400,0.00001900
AL,Geneva,1061,Rural,25764,0.00000100,0.00000260,0.00000200,0.00000029,0.00001300,0.00001900
AL,Greene,1063,Rural,9974,0.00000056,0.00000086,0.00000120,0.00000039,0.00001100,0.00001400
AL,Hale,1065,Rural,17185,0.00000066,0.00000110,0.00000130,0.00000050,0.00001100,0.00001500
AL,Henry,1067,Rural,16310,0.00000009,0.00000250,0.00000170,0.00000024,0.00001000,0.00001500
AL,Houston,1069,Urban,88787,0.00000009,0.00000480,0.00000640,0.00000077,0.00001200,0.00002500
AL,Jackson,1071,Rural,53926,0.00000030,0.00000200,0.00000250,0.00000075,0.00001400,0.00001900
AL,Jefferson,1073,Urban,662047,0.00002400,0.00000490,0.00001400,0.00000200,0.00001800,0.00006300
AL,Lamar,1075,Rural,15904,0.00000021,0.00000099,0.00000093,0.00000016,0.00001100,0.00001300
AL,Lauderdale,1077,Urban,87966,0.00000035,0.00000660,0.00000530,0.00000110,0.00001300,0.00002700
AL,Lawrence,1079,Rural,34803,0.00000250,0.00000230,0.00000220,0.00000054,0.00001400,0.00002200
